country,lon,lat
Albania,20.168331,41.153332
Algeria,1.659626,28.033886
Antigua and Barbuda,-61.796428,17.060816
Argentina,-63.61667199999999,-38.416097
Aruba,-69.968338,12.52111
Australia,133.775136,-25.274398
Austria,14.550072,47.516231
Azerbaijan,47.576927,40.143105
Bahamas,-77.39627999999999,25.03428
Bangladesh,90.356331,23.684994
Barbados,-59.543198,13.193887
Belgium,4.469936,50.503887
Belize,-88.49765,17.189877
Benin,2.315834,9.30769
Bermuda,-64.7505,32.3078
Bolivia,-63.58865299999999,-16.290154
Bosnia and Herzegovina,17.679076,43.915886
Brazil,-51.92528,-14.235004
Burma,95.955974,21.916221
Cambodia,104.990963,12.565679
Cameroon,12.354722,7.369721999999999
Canada,-106.346771,56.130366
Cape Verde,-23.0418,16.5388
Cayman Islands,-81.2546,19.3133
Chile,-71.542969,-35.675147
China,104.195397,35.86166
Colombia,-74.297333,4.570868
Congo (Brazzaville),15.2428853,-4.2633597
Costa Rica,-83.753428,9.748916999999999
Croatia,15.2000001,45.1
Cuba,-77.781167,21.521757
Cura,-95.92608349999999,36.11845479999999
Cyprus,33.429859,35.126413
Czechia,15.472962,49.81749199999999
Denmark,9.501785,56.26392
Dominican Republic,-70.162651,18.735693
Ecuador,-78.18340599999999,-1.831239
Egypt,30.802498,26.820553
El Salvador,-88.89653,13.794185
Ethiopia,40.489673,9.145000000000001
Finland,25.7481511,61.92410999999999
France,2.213749,46.227638
French Polynesia,-149.406843,-17.679742
Gabon,11.609444,-0.803689
Gambia,-15.310139,13.443182
Georgia,-82.9000751,32.1656221
Germany,10.451526,51.165691
Ghana,-1.023194,7.946527
Greece,21.824312,39.074208
Guadeloupe,-61.55099999999999,16.265
Guatemala,-90.23075899999999,15.783471
Haiti,-72.285215,18.971187
Honduras,-86.241905,15.199999
Hong Kong,114.109497,22.396428
Hungary,19.5033041,47.162494
Iceland,-19.020835,64.963051
India,78.96288,20.593684
Indonesia,113.921327,-0.789275
Iran,53.688046,32.427908
Ireland,-7.692053599999999,53.1423672
Israel,34.851612,31.046051
Italy,12.56738,41.87194
Jamaica,-77.297508,18.109581
Japan,138.252924,36.204824
Jordan,-97.3342624,37.9973704
Kazakhstan,66.923684,48.019573
Kenya,37.906193,-0.023559
Kuwait,47.481766,29.31166
Lebanon,35.862285,33.854721
Macedonia,21.745275,41.608635
Madagascar,46.869107,-18.766947
Malaysia,101.975766,4.210484
Maldives,73.22068,3.202778
Malta,14.375416,35.937496
Mauritius,57.55215200000001,-20.348404
Mexico,-102.552784,23.634501
Montenegro,19.374389999999998,42.708678
Morocco,-7.092619999999999,31.791702
Mozambique,35.529562,-18.665695
Namibia,18.49041,-22.95764
Nepal,84.12400799999999,28.394857
Netherlands,5.291265999999999,52.132633
New Zealand,174.885971,-40.900557
Nigeria,8.675277,9.081999
Norway,8.468945999999999,60.47202399999999
Oman,55.975413,21.4735329
Pakistan,69.34511599999999,30.375321
Panama,-80.782127,8.537981
Papua New Guinea,143.95555,-6.314992999999999
Paraguay,-58.443832,-23.442503
Per,NA,NA
Philippines,121.774017,12.879721
Poland,19.145136,51.919438
Portugal,-8.224454,39.39987199999999
Puerto Rico,-66.590149,18.220833
Qatar,51.183884,25.354826
R,-95.712891,37.09024
Romania,24.96676,45.943161
Russia,105.318756,61.52401
Rwanda,29.873888,-1.940278
Saint Kitts and Nevis,-62.782998,17.357822
Saint Lucia,-60.978893,13.909444
Saudi Arabia,45.079162,23.885942
Senegal,-14.452362,14.497401
Serbia,21.005859,44.016521
Seychelles,55.491977,-4.679574
Sierra Leone,-11.779889,8.460555
Singapore,103.819836,1.352083
Sint Maarten,-63.05483,18.04248
Slovenia,14.995463,46.151241
South Africa,22.937506,-30.559482
South Korea,127.766922,35.907757
South Sudan,31.3069788,6.876991899999999
Spain,-3.74922,40.46366700000001
Sri Lanka,80.77179699999999,7.873053999999999
Sudan,30.217636,12.862807
Sweden,18.643501,60.12816100000001
Switzerland,8.227511999999999,46.818188
Taiwan,120.960515,23.69781
Tanzania,34.888822,-6.369028
Thailand,100.992541,15.870032
Trinidad and Tobago,-61.222503,10.691803
Tunisia,9.537499,33.886917
Turkey,35.243322,38.963745
Turks and Caicos Islands,-71.797928,21.694025
U.S. Virgin Islands,-64.896335,18.335765
Uganda,32.290275,1.373333
Ukraine,31.1655799,48.379433
United Arab Emirates,53.847818,23.424076
United Kingdom,-3.435973,55.378051
United States,-95.712891,37.09024
Uruguay,-55.765835,-32.522779
Venezuela,-66.58973,6.42375
Vietnam,108.277199,14.058324
Zambia,27.849332,-13.133897
Zimbabwe,29.154857,-19.015438
Bahrain,50.5577,26.0667
Burundi,29.918886,-3.373056
C,-95.712891,37.09024
Central African Republic,20.939444,6.611110999999999
Iraq,43.679291,33.223191
