,col_number,col_name,pandas_name,R_class,unique_count,need_clarification,notes,Response,dplyr_col_type,pandas_dtype,categorical,unique
0,1,RawDataKey,raw_data_key,numeric,4181546,N,,,n,float64,0,
1,2,UserID,user_id,character,1068154,N,,,c,object,0,
2,3,SessionID,session_id,character,4181197,N,,,c,object,0,
3,4,SessionAccountType,session_account_type,factor,12,Y,Do voucher/tokens cost less to customers?,How they paid.,c,category,1,"COMP-TOKEN, CreditCard, Panasonic, Panasonic - FirstDat, Panasonic - PROD, PayPal, PayPal - PROD, PayPal-PRD, Valor Mileage, Voucher, Voucher+CC, WISP"
4,5,ProductName,product_name,character,144,N,,,c,object,0,
5,6,PaymentCardType,payment_card_type,factor,10,N,,,c,category,1,"AMEX, CUP, DC, DISC, JCB, MC, NotApplicable, Unknown, VISA"
6,7,DeviceTypes,device_types,factor,17,N,,,c,category,1,"laptop, laptop,mobile, laptop,mobile,tablet, laptop,tablet, laptop,tablet,mobile, mobile, mobile,laptop, mobile,laptop,tablet, mobile,tablet, mobile,tablet,laptop, tablet, tablet,laptop, tablet,laptop,mobile, tablet,mobile, tablet,mobile,laptop, UNKNOWN"
7,8,SessionStartTime,session_start_time,"POSIXct, POSIXt",4010759,N,,,T,object,0,
8,9,SessionEndTime,session_end_time,"POSIXct, POSIXt",3667425,N,,,T,object,0,
9,10,SessionDurationMinutes,session_duration_minutes,numeric,2939,N,,,n,float32,0,
10,11,SessionVolumeUpAmount,session_volume_up_amount,numeric,71070,N,,,n,float32,0,
11,12,SessionVolumeDownAmount,session_volume_down_amount,numeric,120729,N,,,n,float32,0,
12,13,FlightID,flight_id,character,567089,N,,,c,object,0,
13,14,Airline,airline,factor,23,N,,,c,category,1,"AAL, AAR, AEA, AMX, ANA, ASL, AZA, CPA, CRK, EWG, FIN, IBE, KAC, KLM, MAS, QTR, REU, RWD, SEY, SIA, SWR, THA, WJA"
14,15,FlightDurationType,flight_duration_type,factor,5,N,,,c,category,1,"Long-Haul, Medium-Haul, Short-Haul, Ultra Long-Haul, Ultra Short-Haul"
15,16,TailNumber,tail_number,character,689,N,,,c,category,1,
16,17,AircraftType,aircraft_type,factor,28,N,,,c,category,1,"319-100, 320-100, 320-200, 320-230, 321-100, 321-200, 330-200, 330-220, 330-240, 330-300, 340-300, 350-1000, 350-900, 737-700, 737-800, 737-MAX8, 757-200, 767-300, 767-300ER, 777-200, 777-200ER, 777-220, 777-240, 777-300, 777-300ER, 787-10, 787-8, 787-9"
17,18,OriginIATA,origin_iata,character,452,N,,,c,category,1,
18,19,DestinationIATA,destination_iata,character,439,N,,,c,category,1,
