col_number,col_name,R_class,unique_count,dplyr_type,pandas_type,unique
1,RawDataKey,numeric,4181546,n,float64,NA
2,UserID,numeric,1068166,n,float64,NA
3,SessionID,character,4181197,c,object,NA
4,SessionAccountType,factor,12,f,category,"CreditCard, Valor Mileage, Voucher, Panasonic - FirstDat, PayPal, PayPal - PROD, Panasonic - PROD, COMP-TOKEN, Panasonic, Voucher+CC, WISP, PayPal-PRD"
5,ProductName,character,144,c,object,NA
6,PaymentCardType,factor,10,f,category,"JCB, VISA, AMEX, MC, DC, NotApplicable, Unknown, DISC, CUP"
7,DeviceTypes,factor,17,f,category,"mobile, laptop, mobile,laptop, tablet, laptop,mobile, tablet,mobile, mobile,tablet, tablet,laptop, laptop,mobile,tablet, laptop,tablet, mobile,laptop,tablet, laptop,tablet,mobile, tablet,laptop,mobile, tablet,mobile,laptop, mobile,tablet,laptop, UNKNOWN"
8,SessionStartTime,"POSIXct, POSIXt",4010759,T,category,NA
9,SessionEndTime,"POSIXct, POSIXt",3667425,T,category,NA
10,SessionDurationMinutes,numeric,2939,n,float32,NA
11,SessionVolumeUpAmount,numeric,71070,n,float32,NA
12,SessionVolumeDownAmount,numeric,120729,n,float32,NA
13,FlightID,numeric,567089,n,float32,NA
14,Airline,factor,23,f,category,"ANA, SIA, THA, AAL, AAR, FIN, CPA, AMX, KLM, MAS, IBE, AZA, KAC, WJA, SWR, EWG, CRK, QTR, SEY, AEA, ASL, REU, RWD"
15,FlightDurationType,factor,5,f,category,"Short-Haul, Ultra Short-Haul, Medium-Haul, Long-Haul, Ultra Long-Haul"
16,TailNumber,factor,689,f,category,NA
17,AircraftType,factor,28,f,category,"767-300, 777-240, 787-8, 787-9, 737-800, 777-300, 777-200, 777-220, 321-100, 767-300ER, 321-200, 777-200ER, 777-300ER, 320-200, 320-100, 350-900, 787-10, 330-300, 350-1000, 330-200, 737-MAX8, 330-220, 737-700, 320-230, 319-100, 757-200, 340-300, 330-240"
18,OriginIATA,factor,452,f,category,NA
19,DestinationIATA,factor,439,f,category,NA
20,DepartureTimeUTC,"POSIXct, POSIXt",430356,T,category,NA
21,LandingTimeUTC,"POSIXct, POSIXt",434820,T,category,NA
22,DepartureTimeLocal,"POSIXct, POSIXt",394609,T,category,NA
23,LandingTimeLocal,"POSIXct, POSIXt",400013,T,category,NA
24,FlightDurationHrs,numeric,1076,n,float16,NA
25,AntennaType,factor,5,f,category,"DPA-02, SPA-01, Melco, C: Commerc"
26,Orig_Country,factor,137,f,category,NA
27,Orig_Region,factor,10,f,category,"Asia, Americas, Oceania, Europe, Middle East, Africa, Asia/ Middle East, Asia/ Europe, Europe/ Africa"
28,TotalUsageMB,numeric,203033,n,float32,NA
29,WiFiUsers,numeric,88,n,float16,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 86, 96, 115, 128, 135"
